country,country_code_m49,year,month,temp_change_c
Antarctica,010,2021,2,-1.732
Antarctica,010,2022,2,0.295
Antarctica,010,2023,2,-0.794
Antarctica,010,2024,2,-1.169
Antarctica,010,2025,2,0.52
Antarctica,010,2020,3,0.034
Antarctica,010,2021,3,2.052
Antarctica,010,2022,3,-0.071
Antarctica,010,2023,3,1.899
Antarctica,010,2024,3,-0.487
Antarctica,010,2025,3,0.326
Antarctica,010,2020,4,2.844
Antarctica,010,2021,4,-1.144
Antarctica,010,2022,4,-1.376
Antarctica,010,2023,4,2.601
Antarctica,010,2024,4,-1.901
Antarctica,010,2025,4,0.846
Antarctica,010,2020,5,1.39
Antarctica,010,2021,5,-0.179
Antarctica,010,2022,5,0.257
Antarctica,010,2023,5,-0.31
Antarctica,010,2024,5,0.902
Antarctica,010,2025,5,0.17
Antarctica,010,2020,6,2.107
Antarctica,010,2021,6,-3.791
Antarctica,010,2022,6,3.439
Antarctica,010,2023,6,1.426
Antarctica,010,2024,6,1.122
Antarctica,010,2025,6,2.044
Antarctica,010,2020,7,0.799
Antarctica,010,2021,7,0.322
Antarctica,010,2022,7,0.04
Antarctica,010,2023,7,1.567
Antarctica,010,2024,7,4.649
Antarctica,010,2025,7,1.619
Antarctica,010,2020,8,-1.375
Antarctica,010,2021,8,-1.52
Antarctica,010,2022,8,3.403
Antarctica,010,2023,8,1.42
Antarctica,010,2024,8,5.124
Antarctica,010,2025,8,5.1
Antarctica,010,2020,9,1.014
Antarctica,010,2021,9,0.285
Antarctica,010,2022,9,0.729
Antarctica,010,2023,9,3.331
Antarctica,010,2024,9,0.144
Antarctica,010,2025,9,3.513
Antarctica,010,2020,10,-1.046
Antarctica,010,2021,10,-1.137
Antarctica,010,2022,10,0.33
Antarctica,010,2023,10,-0.679
Antarctica,010,2024,10,0.895
Antarctica,010,2025,10,1.825
Antarctica,010,2020,11,3.013
Antarctica,010,2021,11,0.19
Antarctica,010,2022,11,-1.394
Antarctica,010,2023,11,-0.501
Antarctica,010,2024,11,0.046
Antarctica,010,2025,11,0.813
Antarctica,010,2020,12,0.546
Antarctica,010,2021,12,0.516
Antarctica,010,2022,12,-1.325
Antarctica,010,2023,12,-0.724
Antarctica,010,2024,12,-1.179
Antarctica,010,2025,12,-0.755
Antigua and Barbuda,028,2020,1,1.222
Antigua and Barbuda,028,2021,1,0.948
Antigua and Barbuda,028,2022,1,1.037
Antigua and Barbuda,028,2023,1,0.747
Antigua and Barbuda,028,2024,1,1.646
Antigua and Barbuda,028,2025,1,1.612
Antigua and Barbuda,028,2020,2,1.288
Antigua and Barbuda,028,2021,2,1.234
